# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec, thread_pool_executor, 0.483348, 0.966696,  local-priority-lifo,    1,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.695807, 1.391614,  local-priority-lifo,    1,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.612363, 1.224727,  local-priority-lifo,    1,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.608992, 1.217984,  local-priority-lifo,    1,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.601925, 1.203849,  local-priority-lifo,    1,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.570399, 1.140798,  local-priority-lifo,    1,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.563303, 1.126606,  local-priority-lifo,    1,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.496471, 0.992942,  local-priority-lifo,    1,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.481395, 0.962790,  local-priority-lifo,    1,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.707469, 1.414938,  local-priority-lifo,    1,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.759366, 1.518732,  local-priority-lifo,    1,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=local-priority-lifo   --hpx:threads=1 --hpx:bind=balanced --csv --info=none

